InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1,85123A,ADIDAS STAN SMITH,6,12/1/2010 8:26,2.55,1,Norway
2,71053,NIKE FORERUNNER,6,12/1/2010 8:26,3.39,2,Norway
3,84406B,ADIDAS STAN SMITH,8,12/1/2010 8:26,2.75,1,Norway
15,84969,LAMP RED,6,12/1/2010 8:34,4.25,6,Norway
16,22623,LAMP RED,3,12/1/2010 8:34,4.95,6,Norway
17,22622,LAMP BLUE,2,12/1/2010 8:34,9.95,6,Norway
18,21754,LAMP,3,12/1/2010 8:34,5.95,6,Norway
19,21755,LACOSTE SUNGLASSES,3,12/1/2010 8:34,5.95,6,Norway
20,21777,LACOSTE SHOES,4,12/1/2010 8:34,7.95,6,Norway
21,48187,LACOSTE BLOUSE,4,12/1/2010 8:34,7.95,6,Norway
22,22960,UNDERWEAR RED,6,12/1/2010 8:34,4.25,7,Norway
23,22913,SOCKS BLUE,3,12/1/2010 8:34,4.95,7,Norway
